client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34934987.mp3	Trebuie să acționați și să acționați rapid.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34935012.mp3	Agricultorii pot face deja acest lucru.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34953970.mp3	Acest lucru este vital, în opinia mea.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34977037.mp3	Nu-mi voi cere scuze de la ea.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34978599.mp3	Chiar dumneavoastră aţi făcut acest lucru.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_34987249.mp3	Le mulțumesc tuturor pentru munca realizată.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35001727.mp3	Aceasta e ceea ce contează cu adevărat.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35008270.mp3	Acum totuși, trebuie să privim către viitor.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35020309.mp3	Am crezut că vom afla în sfârșit adevărul.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35020845.mp3	Acest domeniu este foarte complex şi dificil.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35057908.mp3	Acest raport este arogant și brutal.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35058112.mp3	Acestea provin din toate statele membre.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35083538.mp3	Dacă da, este nevoie de luarea de măsuri.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35083544.mp3	Suntem foarte mulţumiţi de acest rezultat.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35083605.mp3	Acest lucru conferă un drept limitat.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35083697.mp3	Doamnelor și domnilor, să ne calmăm puțin.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35113191.mp3	Personajul principal e un pictor strălucit, dar care nu găsește recunoaștere.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35125072.mp3	Prin urmare, grupul nostru a votat împotrivă.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35125127.mp3	Prin regiuni, mă refer și la locuitorii lor.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35125181.mp3	Primul motiv este de a ajunge la timp.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35157659.mp3	Vom trece acum la explicaţiile privind votul.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35157700.mp3	Aceasta este întrebarea care ni se adresează.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35157907.mp3	Meciul se va juca în memoria lui Marian Cozma.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35158176.mp3	Vremea se anunță în general însorită.	2	0	twenties	male	Bucharest	ro	
1944b19c27194adb2c0589d79dd19db5b1856973afe830f317ad99e5ea42363ad10b0739178f82f2f26fd92ae10ca89e05b4c006267fd44735680191ccf34ff2	common_voice_ro_35610413.mp3	Banii merg acolo unde există acţiune.	2	0	twenties	male	Bucharest	ro	
